y_pred,y_true,abs_error,squared_error,smape,dataset,scenario,horizon
50.230648,46.0,4.230648,17.898382,8.792725,disease,weather,1
52.675114,67.0,14.324886,205.20236,23.939625,disease,weather,1
65.06595,59.0,6.0659485,36.79573,9.778587,disease,weather,1
53.331642,46.0,7.331642,53.752975,14.761947,disease,weather,1
52.23164,48.0,4.23164,17.906776,8.443721,disease,weather,1
52.803387,63.0,10.196613,103.970924,17.610216,disease,weather,1
59.3888,88.0,28.611198,818.60065,38.824116,disease,weather,1
64.496666,65.0,0.50333405,0.25334516,0.77736986,disease,weather,1
70.53575,60.0,10.535751,111.00206,16.142324,disease,weather,1
67.84941,62.0,5.849411,34.21561,9.00953,disease,weather,1
64.61449,83.0,18.385513,338.0271,24.910173,disease,weather,1
69.85843,84.0,14.141571,199.98402,18.382576,disease,weather,1
78.79269,94.0,15.207314,231.26239,17.6018,disease,weather,1
84.71549,93.0,8.284508,68.63307,9.3233385,disease,weather,1
78.341965,83.0,4.6580353,21.697292,5.774115,disease,weather,1
91.37109,77.0,14.371094,206.52834,17.070738,disease,weather,1
89.5491,45.0,44.549103,1984.6226,66.21984,disease,weather,1
48.637867,54.0,5.362133,28.75247,10.448645,disease,weather,1
46.800148,77.0,30.199852,912.03107,48.78807,disease,weather,1
65.24557,64.0,1.2455673,1.551438,1.9274428,disease,weather,1
75.96428,30.0,45.96428,2112.7148,86.754295,disease,weather,1
31.769815,90.0,58.230186,3390.7546,95.63977,disease,weather,1
80.10258,75.0,5.102577,26.036295,6.5796165,disease,weather,1
71.289055,44.0,27.289055,744.6925,47.340237,disease,weather,1
54.190964,58.0,3.8090363,14.508758,6.7902727,disease,weather,1
66.42491,55.0,11.4249115,130.52861,18.81807,disease,weather,1
70.561584,60.0,10.561584,111.547066,16.178701,disease,weather,1
48.744923,73.0,24.255077,588.3088,39.845734,disease,weather,1
73.41659,98.0,24.583412,604.3442,28.682652,disease,weather,1
84.19075,81.0,3.1907501,10.180886,3.86311,disease,weather,1
70.24927,87.0,16.750732,280.58704,21.304688,disease,weather,1
85.37556,88.0,2.624443,6.8877015,3.027466,disease,weather,1
80.87355,103.0,22.12645,489.57977,24.067028,disease,weather,1
86.51728,109.0,22.48272,505.4727,22.998194,disease,weather,1
87.15924,112.0,24.84076,617.0633,24.945625,disease,weather,1
103.040306,73.0,30.040306,902.42,34.128895,disease,weather,1
109.24878,57.0,52.24878,2729.935,62.856136,disease,weather,1
76.808426,48.0,28.808426,829.9254,46.164234,disease,weather,1
46.779182,59.0,12.220818,149.34839,23.106281,disease,weather,1
56.321957,44.0,12.321957,151.83061,24.564823,disease,weather,1
54.647877,78.0,23.352123,545.32166,35.209194,disease,weather,1
78.32974,65.0,13.329742,177.68204,18.600105,disease,weather,1
74.654106,59.0,15.654106,245.05104,23.424803,disease,weather,1
76.800514,61.0,15.800514,249.65625,22.932447,disease,weather,1
73.40099,68.0,5.4009933,29.170729,7.6392574,disease,weather,1
76.34204,84.0,7.657959,58.644337,9.552029,disease,weather,1
64.14588,46.0,18.145882,329.273,32.948814,disease,weather,1
67.20847,67.0,0.2084732,0.043461077,0.31067073,disease,weather,1
68.29406,41.0,27.29406,744.9657,49.9461,disease,weather,1
46.468807,46.0,0.46880722,0.2197802,1.0139791,disease,weather,1
49.49367,70.0,20.506329,420.50952,34.322037,disease,weather,1
59.78571,74.0,14.214291,202.04605,21.249342,disease,weather,1
76.68294,90.0,13.317062,177.34415,15.978914,disease,weather,1
72.81701,100.0,27.182991,738.915,31.458696,disease,weather,1
71.21835,114.0,42.781647,1830.2693,46.195904,disease,weather,1
71.10515,142.0,70.89485,5026.08,66.535095,disease,weather,1
81.96251,108.0,26.03749,677.9509,27.413294,disease,weather,1
89.34531,126.0,36.654694,1343.5665,34.042713,disease,weather,1
95.15927,103.0,7.8407288,61.477028,7.913563,disease,weather,1
109.97569,105.0,4.9756927,24.757519,4.6290746,disease,weather,1
39.714104,39.0,0.7141037,0.5099441,1.8144237,disease,weather,3
40.44337,33.0,7.443371,55.40377,20.269686,disease,weather,3
37.797585,46.0,8.202415,67.27962,19.576735,disease,weather,3
36.85238,61.0,24.147621,583.1076,49.355206,disease,weather,3
39.837063,40.0,0.16293716,0.02654852,0.40817425,disease,weather,3
39.242012,86.0,46.757988,2186.3093,74.66821,disease,weather,3
39.047592,85.0,45.952408,2111.6238,74.088356,disease,weather,3
35.32419,89.0,53.67581,2881.0928,86.34814,disease,weather,3
53.905506,75.0,21.094494,444.97766,32.728615,disease,weather,3
55.30619,63.0,7.6938095,59.194706,13.006605,disease,weather,3
59.012638,62.0,2.987362,8.924331,4.937273,disease,weather,3
60.86754,73.0,12.132462,147.19662,18.126068,disease,weather,3
59.304775,71.0,11.695225,136.77829,17.95057,disease,weather,3
69.07148,72.0,2.9285202,8.576231,4.151825,disease,weather,3
81.919914,51.0,30.919914,956.0411,46.524124,disease,weather,3
77.39032,53.0,24.39032,594.8877,37.411243,disease,weather,3
75.23464,44.0,31.234642,975.60284,52.39189,disease,weather,3
60.32728,54.0,6.327278,40.03445,11.068711,disease,weather,3
46.372803,56.0,9.627197,92.68293,18.808115,disease,weather,3
37.36988,25.0,12.369881,153.01395,39.6662,disease,weather,3
49.761726,42.0,7.7617264,60.244396,16.917131,disease,weather,3
54.914783,21.999998,32.914787,1083.3832,85.58768,disease,weather,3
49.236187,32.0,17.236187,297.08615,42.43475,disease,weather,3
48.444286,20.0,28.444286,809.07745,83.11661,disease,weather,3
44.482895,40.0,4.482895,20.096346,10.612551,disease,weather,3
45.03105,25.0,20.031052,401.24304,57.2062,disease,weather,3
39.655636,34.0,5.655636,31.986217,15.356967,disease,weather,3
45.63127,43.0,2.6312714,6.9235888,5.9375687,disease,weather,3
41.400677,34.0,7.4006767,54.770016,19.630264,disease,weather,3
37.981308,16.999998,20.98131,440.21536,76.32161,disease,weather,3
45.465885,35.0,10.465885,109.53475,26.013226,disease,weather,3
39.990276,41.0,1.0097237,1.0195419,2.493444,disease,weather,3
35.30269,42.0,6.6973114,44.85398,17.3275,disease,weather,3
38.62141,42.0,3.3785896,11.414868,8.381371,disease,weather,3
34.068535,35.0,0.93146515,0.8676273,2.6972198,disease,weather,3
30.009153,30.0,0.009153366,8.378411e-05,0.030506566,disease,weather,3
33.391197,26.999998,6.391199,40.847427,21.165995,disease,weather,3
27.320307,24.0,3.3203068,11.024437,12.939544,disease,weather,3
30.33506,34.0,3.6649399,13.431785,11.39329,disease,weather,3
28.971384,40.0,11.028616,121.63037,31.980267,disease,weather,3
34.04538,21.0,13.04538,170.18193,47.398636,disease,weather,3
32.178413,11.000003,21.17841,448.52502,98.0972,disease,weather,3
32.509937,24.0,8.509937,72.41903,30.118376,disease,weather,3
